SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	9163	1940508	16399	0	0	2.3893635	23523
6/22/2022 3:43:21 AM	9164	1940512	16399	0	0	2.3893635	23523
6/22/2022 3:53:20 AM	9175	1940532	16399	0	0	2.3896446	23524
6/22/2022 3:56:09 AM	9175	1940533	16399	0	0	2.3896446	23524
6/22/2022 4:09:43 AM	9179	1940545	16400	0	0	2.3896446	23524
6/22/2022 4:12:26 AM	9181	1940552	16400	0	0	2.3896446	23524
6/22/2022 4:19:32 AM	9185	1940559	16400	0	0	2.3896446	23524
6/22/2022 4:21:27 AM	9189	1940567	16400	0	0	2.3896446	23524
6/22/2022 4:28:55 AM	9189	1940570	16400	0	0	2.3896446	23524
6/22/2022 4:30:22 AM	9189	1940572	16400	0	0	2.3896446	23524
6/22/2022 4:34:46 AM	9189	1940575	16400	0	0	2.3896446	23524
6/22/2022 4:36:48 AM	9189	1940577	16400	0	0	2.3896446	23524
6/22/2022 4:39:47 AM	9189	1940578	16400	0	0	2.3896446	23524
6/22/2022 5:06:24 AM	9207	1940618	16400	0	0	2.3896446	23524
