SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	27780	5009011	8221	0	0	3.1817048	4810
6/22/2022 3:43:21 AM	27795	5009039	8221	0	0	3.1817048	4810
6/22/2022 3:53:20 AM	27819	5009087	8221	0	0	3.1817048	4810
6/22/2022 3:56:09 AM	27828	5009111	8221	0	0	3.1817048	4810
6/22/2022 4:09:43 AM	27849	5009163	8221	0	0	3.1817048	4810
6/22/2022 4:12:26 AM	27854	5009187	8221	0	0	3.1817048	4810
6/22/2022 4:19:32 AM	27856	5009201	8221	0	0	3.1817048	4810
6/22/2022 4:21:27 AM	27869	5009229	8221	0	0	3.1817048	4810
6/22/2022 4:28:55 AM	27878	5009251	8221	0	0	3.1817048	4810
6/22/2022 4:30:22 AM	27884	5009264	8221	0	0	3.1817048	4810
6/22/2022 4:34:46 AM	27890	5009287	8222	0	0	3.1817048	4810
6/22/2022 4:36:48 AM	27892	5009293	8222	0	0	3.1817048	4810
6/22/2022 4:39:47 AM	27893	5009306	8222	0	0	3.1817048	4810
6/22/2022 5:06:24 AM	27921	5009409	8222	0	0	3.1817048	4810
6/22/2022 5:22:19 AM	27940	5009462	8222	0	0	3.1817048	4810
6/22/2022 6:37:10 AM	27996	5009736	8222	0	0	3.1817048	4810
6/22/2022 6:39:13 AM	27994	5009745	8222	0	0	3.1817048	4810
6/22/2022 6:42:47 AM	27995	5009755	8222	0	0	3.1817048	4810
6/22/2022 6:53:25 AM	27983	5009772	8222	0	0	3.1817048	4810
6/22/2022 7:05:11 AM	27978	5009802	8222	0	0	3.1817048	4810
