SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	27780	5009011	8221	0	0	3.1817048	4810
6/22/2022 3:43:21 AM	27795	5009039	8221	0	0	3.1817048	4810
6/22/2022 3:53:20 AM	27819	5009087	8221	0	0	3.1817048	4810
6/22/2022 3:56:09 AM	27828	5009111	8221	0	0	3.1817048	4810
6/22/2022 4:09:43 AM	27849	5009163	8221	0	0	3.1817048	4810
6/22/2022 4:12:26 AM	27854	5009187	8221	0	0	3.1817048	4810
6/22/2022 4:19:32 AM	27856	5009201	8221	0	0	3.1817048	4810
6/22/2022 4:21:27 AM	27869	5009229	8221	0	0	3.1817048	4810
6/22/2022 4:28:55 AM	27878	5009251	8221	0	0	3.1817048	4810
6/22/2022 4:30:22 AM	27884	5009264	8221	0	0	3.1817048	4810
6/22/2022 4:34:46 AM	27890	5009287	8222	0	0	3.1817048	4810
6/22/2022 4:36:48 AM	27892	5009293	8222	0	0	3.1817048	4810
6/22/2022 4:39:47 AM	27893	5009306	8222	0	0	3.1817048	4810
6/22/2022 5:06:24 AM	27921	5009409	8222	0	0	3.1817048	4810
6/22/2022 5:22:19 AM	27940	5009462	8222	0	0	3.1817048	4810
6/22/2022 6:37:10 AM	27996	5009736	8222	0	0	3.1817048	4810
6/22/2022 6:39:13 AM	27994	5009745	8222	0	0	3.1817048	4810
6/22/2022 6:42:47 AM	27995	5009755	8222	0	0	3.1817048	4810
6/22/2022 6:53:25 AM	27983	5009772	8222	0	0	3.1817048	4810
6/22/2022 7:05:11 AM	27978	5009802	8222	0	0	3.1817048	4810
6/22/2022 7:48:38 AM	27926	5009879	8222	0	0	3.1817048	4810
6/22/2022 8:06:05 AM	27903	5009909	8222	0	0	3.1817048	4810
6/22/2022 8:52:22 AM	27831	5009970	8222	0	0	3.1817048	4810
6/22/2022 9:04:32 AM	27815	5009975	8222	0	0	3.1817048	4810
6/22/2022 9:48:35 AM	27723	5010022	8222	0	0	3.1817048	4810
6/22/2022 10:05:13 AM	27701	5010036	8222	0	0	3.1817048	4810
6/22/2022 10:53:08 AM	27587	5010074	8222	0	0	3.1817048	4810
6/22/2022 11:04:59 AM	27571	5010078	8222	0	0	3.1817048	4810
6/22/2022 11:50:00 AM	27471	5010116	8222	0	0	3.1817048	4810
6/22/2022 12:07:16 PM	27434	5010127	8222	0	0	3.1817048	4810
6/22/2022 1:01:17 PM	27337	5010181	8222	0	0	3.1817048	4810
6/22/2022 1:55:21 PM	27238	5010247	8222	0	0	3.1817048	4810
6/22/2022 2:04:43 PM	27219	5010252	8222	0	0	3.1817048	4810
6/22/2022 2:49:48 PM	27148	5010314	8222	0	0	3.1817048	4810
6/22/2022 3:05:38 PM	27128	5010333	8222	0	0	3.1817048	4810
6/22/2022 3:49:47 PM	27083	5010415	8222	0	0	3.1817048	4810
6/22/2022 4:04:48 PM	27073	5010446	8222	0	0	3.1817048	4810
6/22/2022 4:08:41 PM	27073	5010455	8222	0	0	3.1817048	4810
6/22/2022 4:17:23 PM	27059	5010477	8222	0	0	3.1817048	4810
6/22/2022 4:27:09 PM	27053	5010499	8222	0	0	3.1817048	4810
6/22/2022 4:28:21 PM	27054	5010492	8222	0	0	3.1817048	4810
6/22/2022 4:36:30 PM	27048	5010522	8222	0	0	3.1817048	4810
6/22/2022 4:38:37 PM	27049	5010523	8222	0	0	3.1817048	4810
6/22/2022 4:56:32 PM	27043	5010561	8222	0	0	3.1817048	4810
6/22/2022 5:10:38 PM	27027	5010598	8222	0	0	3.1817048	4810
6/22/2022 5:51:23 PM	27013	5010697	8222	0	0	3.1817048	4810
6/22/2022 6:06:06 PM	27013	5010739	8222	0	0	3.1817048	4810
6/22/2022 6:44:06 PM	27014	5010846	8222	0	0	3.1817048	4810
6/22/2022 6:51:39 PM	27017	5010877	8222	0	0	3.1817048	4810
6/22/2022 6:55:03 PM	27020	5010885	8222	0	0	3.1817048	4810
6/22/2022 7:04:45 PM	27035	5010934	8222	0	0	3.1817048	4810
6/22/2022 7:49:37 PM	27058	5011083	8222	0	0	3.1817048	4810
6/22/2022 8:05:15 PM	27066	5011130	8222	0	0	3.1817048	4810
6/22/2022 8:49:23 PM	27126	5011322	8222	0	0	3.1820827	4811
6/22/2022 9:05:42 PM	27136	5011374	8222	0	0	3.1820827	4811
6/22/2022 9:48:30 PM	27175	5011533	8222	0	0	3.1820827	4811
6/22/2022 10:46:22 PM	27241	5011775	8222	0	0	3.1820827	4811
6/22/2022 10:50:53 PM	27240	5011789	8222	0	0	3.1820827	4811
6/22/2022 11:04:25 PM	27261	5011840	8223	0	0	3.1820827	4811
6/22/2022 11:48:51 PM	27314	5012022	8223	0	0	3.1820827	4811
6/23/2022 12:13:56 AM	27363	5012139	8223	0	0	3.1820827	4811
6/23/2022 1:11:08 AM	27484	5012400	8223	0	0	3.1822526	4812
6/23/2022 2:36:43 AM	27675	5012809	8223	0	0	3.1822526	4812
6/23/2022 3:23:21 AM	27792	5013049	8223	0	0	3.1822526	4812
6/23/2022 4:02:28 AM	27875	5013235	8223	0	0	3.1822526	4812
