SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	9054	1157670	2280	0	0	3.216442	2153
6/22/2022 3:43:21 AM	9060	1157679	2280	0	0	3.216442	2153
6/22/2022 3:53:20 AM	9060	1157687	2280	0	0	3.216442	2153
6/22/2022 3:56:09 AM	9066	1157697	2280	0	0	3.216442	2153
6/22/2022 4:09:43 AM	9067	1157707	2280	0	0	3.216442	2153
6/22/2022 4:12:26 AM	9070	1157716	2280	0	0	3.216442	2153
6/22/2022 4:19:32 AM	9072	1157721	2280	0	0	3.216442	2153
6/22/2022 4:21:27 AM	9071	1157725	2280	0	0	3.216442	2153
6/22/2022 4:28:55 AM	9073	1157730	2280	0	0	3.216442	2153
6/22/2022 4:30:22 AM	9073	1157732	2280	0	0	3.216442	2153
6/22/2022 4:34:46 AM	9072	1157737	2280	0	0	3.216442	2153
6/22/2022 4:36:48 AM	9071	1157737	2280	0	0	3.216442	2153
6/22/2022 4:39:47 AM	9072	1157738	2280	0	0	3.216442	2153
6/22/2022 5:06:24 AM	9075	1157767	2280	0	0	3.216442	2153
6/22/2022 5:22:19 AM	9077	1157778	2280	0	0	3.216442	2153
6/22/2022 6:37:10 AM	9057	1157823	2280	0	0	3.216442	2153
6/22/2022 6:39:13 AM	9057	1157826	2280	0	0	3.216442	2153
6/22/2022 6:42:47 AM	9056	1157828	2280	0	0	3.216442	2153
