SnapshotTime	RecentPlays	AllTimePlays	Favorites	Likes	Bookmarks	AverageRating	NumberOfRatings
6/22/2022 3:37:55 AM	49008	884367	3092	0	0	3.53605	1914
6/22/2022 3:43:21 AM	49028	884400	3092	0	0	3.53605	1914
6/22/2022 3:53:20 AM	49067	884472	3092	0	0	3.53605	1914
6/22/2022 3:56:09 AM	49102	884528	3092	0	0	3.53605	1914
6/22/2022 4:09:43 AM	49137	884606	3093	0	0	3.53605	1914
6/22/2022 4:12:26 AM	49154	884643	3093	0	0	3.53605	1914
6/22/2022 4:19:32 AM	49188	884699	3093	0	0	3.5342038	1915
6/22/2022 4:21:27 AM	49215	884748	3093	0	0	3.5342038	1915
6/22/2022 4:28:55 AM	49249	884811	3093	0	0	3.5342038	1915
6/22/2022 4:30:22 AM	49244	884803	3093	0	0	3.5342038	1915
6/22/2022 4:34:46 AM	49274	884858	3093	0	0	3.5342038	1915
6/22/2022 4:36:48 AM	49280	884868	3093	0	0	3.5342038	1915
6/22/2022 4:39:47 AM	49300	884905	3093	0	0	3.5342038	1915
6/22/2022 5:06:24 AM	49370	885080	3096	0	0	3.5323591	1916
6/22/2022 5:22:19 AM	49388	885160	3096	0	0	3.5323591	1916
6/22/2022 6:37:10 AM	49438	885495	3096	0	0	3.5297184	1918
6/22/2022 6:39:13 AM	49441	885503	3096	0	0	3.5297184	1918
6/22/2022 6:42:47 AM	49444	885525	3096	0	0	3.5297184	1918
6/22/2022 6:53:25 AM	49440	885564	3096	0	0	3.5297184	1918
6/22/2022 7:05:11 AM	49435	885607	3097	0	0	3.527879	1919
6/22/2022 7:48:38 AM	49404	885755	3100	0	0	3.5286458	1920
6/22/2022 8:06:05 AM	49376	885800	3101	0	0	3.5286458	1920
6/22/2022 8:52:22 AM	49301	885908	3102	0	0	3.5286458	1920
6/22/2022 9:04:32 AM	49284	885921	3102	0	0	3.5294118	1921
6/22/2022 9:48:35 AM	49186	886015	3102	0	0	3.5294118	1921
6/22/2022 10:05:13 AM	49166	886045	3103	0	0	3.5296566	1922
6/22/2022 10:53:08 AM	49063	886150	3104	0	0	3.5296566	1922
6/22/2022 11:04:59 AM	49053	886168	3104	0	0	3.5296566	1922
6/22/2022 11:50:00 AM	48966	886272	3105	0	0	3.528861	1923
6/22/2022 12:07:16 PM	48935	886307	3105	0	0	3.528861	1923
6/22/2022 1:01:17 PM	48853	886434	3107	0	0	3.528861	1923
6/22/2022 1:55:21 PM	48802	886610	3108	0	0	3.528861	1923
6/22/2022 2:04:43 PM	48795	886636	3108	0	0	3.528861	1923
6/22/2022 2:49:48 PM	48766	886785	3110	0	0	3.5238836	1926
6/22/2022 3:05:38 PM	48767	886846	3111	0	0	3.5238836	1926
6/22/2022 3:49:47 PM	48772	887026	3112	0	0	3.5238836	1926
6/22/2022 4:04:48 PM	48785	887096	3112	0	0	3.5238836	1926
6/22/2022 4:08:41 PM	48790	887124	3112	0	0	3.5238836	1926
6/22/2022 4:17:23 PM	48793	887165	3112	0	0	3.5238836	1926
6/22/2022 4:27:09 PM	48818	887230	3114	0	0	3.5238836	1926
6/22/2022 4:28:21 PM	48814	887231	3114	0	0	3.5238836	1926
6/22/2022 4:36:30 PM	48830	887280	3116	0	0	3.525415	1928
6/22/2022 4:38:37 PM	48830	887281	3116	0	0	3.525415	1928
6/22/2022 4:56:32 PM	48854	887365	3116	0	0	3.525415	1928
6/22/2022 5:10:38 PM	48881	887460	3116	0	0	3.525415	1928
6/22/2022 5:51:23 PM	48983	887723	3118	0	0	3.5235875	1929
6/22/2022 6:06:06 PM	49013	887811	3119	0	0	3.5243523	1930
6/22/2022 6:44:06 PM	49109	888053	3122	0	0	3.5258799	1932
6/22/2022 6:51:39 PM	49138	888114	3122	0	0	3.5258799	1932
6/22/2022 6:55:03 PM	49152	888142	3122	0	0	3.5258799	1932
6/22/2022 7:04:45 PM	49199	888236	3124	0	0	3.524302	1934
6/22/2022 7:49:37 PM	49361	888571	3128	0	0	3.5237603	1936
6/22/2022 8:05:15 PM	49401	888660	3129	0	0	3.5237603	1936
6/22/2022 8:49:23 PM	49578	889026	3131	0	0	3.522165	1940
6/22/2022 9:05:42 PM	49632	889137	3134	0	0	3.522411	1941
6/22/2022 9:48:30 PM	49802	889472	3141	0	0	3.5234175	1943
6/22/2022 10:46:22 PM	50023	889937	3146	0	0	3.5236382	1946
6/22/2022 10:50:53 PM	50037	889971	3146	0	0	3.5236382	1946
6/22/2022 11:04:25 PM	50083	890059	3147	0	0	3.5236382	1946
6/22/2022 11:48:51 PM	50279	890433	3153	0	0	3.5236382	1946
6/23/2022 12:13:56 AM	50424	890677	3153	0	0	3.5215607	1948
6/23/2022 1:11:08 AM	50714	891193	3157	0	0	3.5215607	1948
6/23/2022 2:36:43 AM	51225	892052	3162	0	0	3.5197537	1949
6/23/2022 3:23:21 AM	51501	892526	3166	0	0	3.5205128	1950
6/23/2022 4:02:28 AM	51703	892892	3167	0	0	3.5207586	1951
6/23/2022 4:58:00 AM	51912	893325	3171	0	0	3.5192013	1953
6/23/2022 5:10:51 AM	51943	893399	3172	0	0	3.5202045	1955
6/23/2022 5:50:45 AM	52004	893620	3176	0	0	3.5209398	1958
6/23/2022 6:06:45 AM	52023	893703	3176	0	0	3.5209398	1958
6/23/2022 6:52:23 AM	52007	893869	3176	0	0	3.5209398	1958
6/23/2022 7:04:32 AM	52002	893928	3177	0	0	3.5209398	1958
6/23/2022 7:48:43 AM	51967	894061	3179	0	0	3.5209398	1958
6/23/2022 8:04:51 AM	51945	894098	3179	0	0	3.5209398	1958
6/23/2022 8:54:04 AM	51846	894206	3182	0	0	3.5211842	1959
6/23/2022 9:04:45 AM	51819	894225	3182	0	0	3.5214286	1960
6/23/2022 9:49:01 AM	51737	894330	3183	0	0	3.5229359	1962
6/23/2022 10:06:10 AM	51705	894355	3184	0	0	3.5229359	1962
6/23/2022 10:49:27 AM	51616	894434	3185	0	0	3.5229359	1962
6/23/2022 11:04:27 AM	51584	894462	3185	0	0	3.5229359	1962
6/23/2022 11:48:53 AM	51496	894557	3185	0	0	3.521894	1964
6/23/2022 12:06:56 PM	51455	894596	3185	0	0	3.521894	1964
6/23/2022 1:02:45 PM	51334	894705	3187	0	0	3.521894	1964
6/23/2022 1:54:42 PM	51254	894825	3188	0	0	3.5208545	1966
6/23/2022 2:04:18 PM	51245	894865	3188	0	0	3.5190647	1967
6/23/2022 2:48:34 PM	51208	895011	3189	0	0	3.5190647	1967
6/23/2022 3:05:04 PM	51204	895069	3189	0	0	3.5185373	1969
6/23/2022 3:51:03 PM	51214	895263	3192	0	0	3.5175037	1971
6/23/2022 4:05:37 PM	51209	895312	3193	0	0	3.5182555	1972
6/23/2022 4:56:09 PM	51242	895554	3195	0	0	3.5182555	1972
6/23/2022 5:08:20 PM	51258	895628	3195	0	0	3.5182555	1972
6/23/2022 5:49:14 PM	51327	895846	3196	0	0	3.5182555	1972
6/23/2022 6:04:42 PM	51364	895954	3197	0	0	3.5182555	1972
6/23/2022 6:52:22 PM	51465	896246	3199	0	0	3.5182555	1972
6/23/2022 7:04:29 PM	51488	896330	3199	0	0	3.5182555	1972
6/23/2022 7:48:30 PM	51632	896639	3200	0	0	3.5182555	1972
6/23/2022 8:04:31 PM	51675	896740	3200	0	0	3.5182555	1972
6/23/2022 8:52:06 PM	51836	897112	3205	0	0	3.5177305	1974
6/23/2022 9:06:14 PM	51887	897207	3206	0	0	3.5177305	1974
